	User	Date Created	Number of Likes	Source of Tweet	Tweet	Location
90	afrikanchinese	2022-03-22 21:21:03+00:00	5	Twitter for Android	"Currently on the timeline...
It was a tough decision but God being faithful,I got another job and at least,I've been able to breathe a better air.

Still praying for a much more better opportunity 🙏

#horriblebosses https://t.co/yrXpAuSvrB"	Lagos, Nigeria
91	xtracta	2022-03-22 21:20:11+00:00	2	Twitter for iPhone	"Your skincare line is made easy n affordable.
Even a novice in skincare formulation can comfortably make a perfect facial cream by just following d step-by-step instructions. 

Access the e-book 
https://t.co/BNnI2eJ3cc
#ebook #HorribleBosses #BusinessProposal #startup #business https://t.co/tUBQePnqJa"	New Haven, CT
92	sijilagos	2022-03-22 21:19:27+00:00	0	Twitter for iPhone	"@Tomisinfoluwa Eg please … 

Let’s Tag them 

#horriblebosses"	TheJourney
93	Ossy_Whyse	2022-03-22 21:19:25+00:00	2	Twitter for Android	Imagine responding to over 1,000 mails from customers and your Boss requests that he/she must be blind copied in all outgoing mails. Crazy things man don see for this life #HorribleBosses	Lagos,Nigeria.
94	omendoca1	2022-03-22 21:19:04+00:00	0	Twitter for iPhone	The next time you are having a Bad day, this is how gypsies spend their days… #InternationalDayOfHappiness #war #NoMamar #HorribleBosses #UcraniaRussia https://t.co/D089CdKhvb https://t.co/hZgGPRecj5	
95	OsanyemG	2022-03-22 21:17:38+00:00	0	Twitter for iPhone	Reading stories about #HorribleBosses and that Daniel and Ebun chaps, and all I can say is, as a young man, be fit, active and take your gym life seriously. Make fellow man no dey use blow threaten you. And as for sack matter, personally, I’d rather starve than eat your shit.	
96	Hayatou27	2022-03-22 21:17:25+00:00	5	Twitter for Android	Be wary of companies that is always recruiting, They have a terrible staff retention policies and fire at will , Japa for them #Ebun #HorribleBosses #PR	somewhere close to you!
97	sijilagos	2022-03-22 21:15:59+00:00	0	Twitter for iPhone	Trending #HorribleBosses	TheJourney
98	kinyemii	2022-03-22 21:14:57+00:00	1	Twitter for Android	"Crazy things are happening, crazy things are hap-pen-ing

#HorribleBosses"	Persian Gulf
99	drkSparkk	2022-03-22 21:14:34+00:00	3	Twitter for iPhone	Look I love women but you see ‘some women bosses’ hmmm WITCHES  #HorribleBosses	The Gambia
100	thehappykid_	2022-03-22 21:13:55+00:00	0	Twitter for iPhone	@ZeeMonayTTks Yeah! Someone shared it during the twitter space last night - #HorribleBosses	United Kingdom
101	AskOmalicha	2022-03-22 21:13:40+00:00	2	Twitter for Android	"Make  a decision not to stay in a  #toxicworkplace or get drawn into the drama of #horriblebosses. Try to keep a safe distance from them because your emotional state of mind matters more than your job. Leave if you have to.

#ThePolishCoach
#NneomaEffanga"	Lagos, Nigeria
102	john_fatoye	2022-03-22 21:13:20+00:00	5	Twitter for Android	"If you ever resigned to save your mental health and dignity

You are not a coward

I'll place those two above salary any time
#HorribleBosses"	Kwara, Nigeria
103	_d_lolaa	2022-03-22 21:12:24+00:00	3	Twitter for Android	#horriblebosses https://t.co/QSgQsl6pF2	
104	adeyshorla	2022-03-22 21:11:34+00:00	1	Twitter for Android	"#toxicworkplace
#HorribleBosses 
#toxicworkplace 
Banks make 1 person combine 1 or 3 job roles without commensurate reward.Staff members work 366 days a year...ALL HOLIDAYS,SATURDAYS &amp; SUNDAYS...7.30am to 5.30pm and they must report to work promptly the following day!1894!"	Lagos, Nigeria
105	drkSparkk	2022-03-22 21:11:21+00:00	3	Twitter for iPhone	Can we also talk about jobs where you do all the work and the lazy ones on Facebook all day get the huge salary and bonuses whiles you take home the crumbs #HorribleBosses	The Gambia
106	henry_tabansi	2022-03-22 21:11:12+00:00	0	Twitter for iPhone	If you are busy tweeting and posting about #HorribleBosses and #employers knowing nothing about the National Industrial Court and her jurisdiction, then you are just making noise.	Lagos State, Nigeria
107	QueMillion	2022-03-22 21:10:51+00:00	2	Twitter for iPhone	“People will say you can do it, just because they don’t want to see you succeed”  #HorribleBosses #Motivation #liveline	United Kingdom
108	ttv_lilpeeeweee	2022-03-22 21:10:39+00:00	6	Twitter for iPhone	True dedication is watching educational videos on YouTube on ways to improve and reach your goals - whilst using your shut work computer at the job you hate. 💫 we’re shooting for the stars babes. Never give up. #SmallStreamersConnect #motivation #YouTube #HorribleBosses #twitch https://t.co/eAdvfkO3Vf	Phoenix, AZ
109	Shockng	2022-03-22 21:09:43+00:00	9	Twitter for iPhone	"We understand the concerns, but we were not threatened or anything like that. It was the opposite, everyone was encouraging re #HorribleBosses Inside Nollywood.

We will arrange and plan better for the next one but network and Twitter Space getting buggy are beyond us. Thanks."	Lagos, Nigeria
110	Ore_Tee	2022-03-22 21:09:19+00:00	7	Twitter for iPhone	"Omo Nollywood herbalists are working overtime o. Ahn ahn free the network nauuu 😭😭😭

#HorribleBosses"	
111	Makintamie	2022-03-22 21:08:29+00:00	3	Twitter for Android	"Listening and reading the stories about #HorribleBosses and i find it difficult to relate. 

My Boss is an Angel. One of her kind."	Nigeria🇳🇬
112	drkSparkk	2022-03-22 21:07:58+00:00	0	Twitter for iPhone	Me I give it back to anyone trying to treat me anyhow at work, be it the boss or whoever… it’s horrible how employees get treated sometimes tbh some really heartbroken experiences #HorribleBosses	The Gambia
113	innollywood_	2022-03-22 21:07:47+00:00	8	Twitter for Android	"We understand the concerns, but we were not threatened or anything like that. It was the opposite, everyone was encouraging re #HorribleBosses Inside Nollywood.

We will arrange and plan better for the next one but network and Twitter Space getting buggy are beyond us. Thanks."	
114	miss_funto	2022-03-22 21:06:29+00:00	3	Twitter for Android	The #HorribleBosses trend ehn, it only shows how Nigerians stays in a toxic environment just to survive in that country	Lagos, Nigeria
115	OnyiOkekeonyi5	2022-03-22 21:06:29+00:00	0	Twitter Web App	"@Saucoinofficial #HorribleBosses 
#freevbucks 
#CrisPorta22M"	
116	EVAEZI1	2022-03-22 21:06:21+00:00	3	Twitter for Android	I'm actually shocked that people are shocked at the things that are being revealed tonight about Nollywood. It is a wicked industry with VERY VERY few loyalties, honesty and decency. Actors dey see things. #HorribleBosses	
117	OlajumokeLBA	2022-03-22 21:04:31+00:00	0	Twitter for Android	Bhet why can't this #HorribleBosses be on Clubhouse? E go sweet die. At least no bloody streets and crashing internet. Abi how you take see am?	Nigeria
118	Succ_Succ	2022-03-22 21:04:30+00:00	0	Twitter for Android	How come nobody is talking about the Chinese firms in this country? These guys are some of the most horrible people you can ever meet. #HorribleBosses	Lagos
119	senatorbash	2022-03-22 21:03:53+00:00	5	Twitter for iPhone	"“Mr Peter of Scene One Production pays 5k per scene in a Series.”
#HorribleBosses in Nollywood. 

@innollywood_ @Shockng thank you for providing the platform to unearth some shocking and terrible attitude been meted upon extras, waka-pass, and zero-rated crew members. https://t.co/hgp25Gsktx"	Calabar, Nigeria
120	walegates	2022-03-22 21:03:37+00:00	1	Twitter for iPhone	@tundealuko 🙄🙄🙄 I’m surprised you were not one of the bosses called out on #HorribleBosses	Kent, UK 
121	Person_Pikin27	2022-03-22 21:02:59+00:00	6	Twitter for iPhone	"I don’t know why I chose to screenshot this particular tweet from the whole thread.
🤔🤔 @SMiTHiE___ explain this tweet better ogã.

""Nancy Isime"" Vawulence fireboy Snapchat chioma nkiruka it is done, agba akin pique #HorribleBosses https://t.co/zv5rPTM0Bd"	Earth
